[251857.268900] usb 1-1: USB disconnect, device number 8
[251987.656702] iterate_tasks: module license 'unspecified' taints kernel.
[251987.656703] Disabling lock debugging due to kernel taint
[251987.656991] Loading Kernel Module
[251987.657101] task command: ibus-dconf, state: 1, process id: 1631
[251987.657102] task command: ibus-x11, state: 1, process id: 1633
[251987.657103] task command: ibus-portal, state: 1, process id: 1636
[251987.657103] task command: boltd, state: 1, process id: 1648
[251987.657104] task command: packagekitd, state: 1, process id: 1649
[251987.657104] task command: gsd-xsettings, state: 1, process id: 1653
[251987.657105] task command: gsd-a11y-settin, state: 1, process id: 1655
[251987.657106] task command: gsd-clipboard, state: 1, process id: 1656
[251987.657106] task command: gsd-color, state: 1, process id: 1657
[251987.657107] task command: gsd-datetime, state: 1, process id: 1660
[251987.657108] task command: gsd-housekeepin, state: 1, process id: 1661
[251987.657108] task command: gsd-keyboard, state: 1, process id: 1662
[251987.657109] task command: gsd-media-keys, state: 1, process id: 1663
[251987.657110] task command: gsd-mouse, state: 1, process id: 1666
[251987.657110] task command: gsd-power, state: 1, process id: 1668
[251987.657111] task command: gsd-print-notif, state: 1, process id: 1672
[251987.657112] task command: gsd-rfkill, state: 1, process id: 1673
[251987.657112] task command: gsd-screensaver, state: 1, process id: 1680
[251987.657113] task command: gsd-sharing, state: 1, process id: 1681
[251987.657113] task command: gsd-smartcard, state: 1, process id: 1683
[251987.657114] task command: gsd-sound, state: 1, process id: 1687
[251987.657115] task command: gsd-wacom, state: 1, process id: 1693
[251987.657115] task command: ibus-engine-sim, state: 1, process id: 1711
[251987.657117] task command: colord, state: 1, process id: 1765
[251987.657117] task command: gdm-session-wor, state: 1, process id: 1791
[251987.657118] task command: systemd, state: 1, process id: 1825
[251987.657119] task command: (sd-pam), state: 1, process id: 1826
[251987.657119] task command: gnome-keyring-d, state: 1, process id: 1839
[251987.657120] task command: gdm-x-session, state: 1, process id: 1843
[251987.657121] task command: Xorg, state: 1, process id: 1845
[251987.657121] task command: dbus-daemon, state: 1, process id: 1851
[251987.657122] task command: gnome-session-b, state: 1, process id: 1854
[251987.657122] task command: ssh-agent, state: 1, process id: 1932
[251987.657123] task command: at-spi-bus-laun, state: 1, process id: 1935
[251987.657124] task command: dbus-daemon, state: 1, process id: 1940
[251987.657124] task command: at-spi2-registr, state: 1, process id: 1942
[251987.657125] task command: gnome-shell, state: 1, process id: 1960
[251987.657125] task command: gvfsd, state: 1, process id: 1967
[251987.657126] task command: gvfsd-fuse, state: 1, process id: 1972
[251987.657127] task command: pulseaudio, state: 1, process id: 1983
[251987.657127] task command: krfcommd, state: 1, process id: 2001
[251987.657128] task command: ibus-daemon, state: 1, process id: 2003
[251987.657129] task command: xdg-permission-, state: 1, process id: 2004
[251987.657129] task command: gnome-shell-cal, state: 1, process id: 2027
[251987.657130] task command: gvfs-udisks2-vo, state: 1, process id: 2034
[251987.657130] task command: evolution-sourc, state: 1, process id: 2040
[251987.657131] task command: gvfs-gphoto2-vo, state: 1, process id: 2042
[251987.657132] task command: gvfs-goa-volume, state: 1, process id: 2046
[251987.657132] task command: goa-daemon, state: 1, process id: 2050
[251987.657133] task command: goa-identity-se, state: 1, process id: 2063
[251987.657134] task command: gvfs-mtp-volume, state: 1, process id: 2068
[251987.657134] task command: gvfs-afc-volume, state: 1, process id: 2072
[251987.657135] task command: gsd-power, state: 1, process id: 2081
[251987.657136] task command: gsd-print-notif, state: 1, process id: 2082
[251987.657136] task command: gsd-rfkill, state: 1, process id: 2083
[251987.657137] task command: gsd-screensaver, state: 1, process id: 2084
[251987.657137] task command: gsd-sharing, state: 1, process id: 2086
[251987.657138] task command: gsd-smartcard, state: 1, process id: 2091
[251987.657139] task command: gsd-xsettings, state: 1, process id: 2096
[251987.657140] task command: gsd-sound, state: 1, process id: 2103
[251987.657140] task command: gsd-wacom, state: 1, process id: 2110
[251987.657141] task command: gsd-a11y-settin, state: 1, process id: 2118
[251987.657141] task command: gsd-clipboard, state: 1, process id: 2119
[251987.657142] task command: gsd-color, state: 1, process id: 2122
[251987.657143] task command: gsd-datetime, state: 1, process id: 2125
[251987.657143] task command: gsd-housekeepin, state: 1, process id: 2126
[251987.657144] task command: gsd-keyboard, state: 1, process id: 2129
[251987.657145] task command: gsd-media-keys, state: 1, process id: 2134
[251987.657145] task command: gsd-mouse, state: 1, process id: 2139
[251987.657146] task command: gsd-printer, state: 1, process id: 2166
[251987.657147] task command: gsd-disk-utilit, state: 1, process id: 2178
[251987.657148] task command: evolution-calen, state: 1, process id: 2201
[251987.657148] task command: evolution-calen, state: 1, process id: 2217
[251987.657149] task command: dconf-service, state: 1, process id: 2226
[251987.657150] task command: evolution-addre, state: 1, process id: 2229
[251987.657150] task command: evolution-addre, state: 1, process id: 2241
[251987.657151] task command: gnome-software, state: 1, process id: 2263
[251987.657152] task command: update-notifier, state: 1, process id: 2265
[251987.657152] task command: fwupd, state: 1, process id: 2286
[251987.657153] task command: gvfsd-trash, state: 1, process id: 2441
[251987.657154] task command: gnome-terminal-, state: 1, process id: 2488
[251987.657155] task command: ibus-dconf, state: 1, process id: 2987
[251987.657156] task command: ibus-x11, state: 1, process id: 2991
[251987.657156] task command: ibus-portal, state: 1, process id: 3000
[251987.657157] task command: ibus-engine-sim, state: 1, process id: 3006
[251987.657157] task command: ibus-engine-uni, state: 1, process id: 4289
[251987.657158] task command: chrome, state: 1, process id: 4297
[251987.657159] task command: cat, state: 1, process id: 4303
[251987.657159] task command: cat, state: 1, process id: 4304
[251987.657160] task command: chrome, state: 1, process id: 4307
[251987.657160] task command: nacl_helper, state: 1, process id: 4308
[251987.657161] task command: chrome, state: 1, process id: 4311
[251987.657162] task command: chrome, state: 1, process id: 4332
